"1.西南石油大学校训是（  ）。","明德笃志，博学创新"
"2.我校的大学精神是（  ）。","为祖国加油，为民族争气"
"3.到2019年11月1日，西南石油大学建校已有（  ）年。","61"
"4.下列哪项（  ）是我校的优良传统。","实事求是，艰苦奋斗"
"5.对学校给予的处分或者处理有异议，可以向（  ）提出申诉。","学校、教育行政部门"
"6.新生入学后，学校应在（  ）个月内按照国家招生规定对其进行复查。","3"
"7. 复查中发现学生身心状况不适宜在校学习，经学校指定的（  ）诊断，需要在家休养的，可以按照第十条的规定保留入学资格。","二级甲等以上医院"
"8.学生应征参加中国人民解放军（含中国人民武装警察部队），学校应当保留其学籍至退役后（  ）年。","2"
"9.学生自费出国留学，须办理（  ）手续。","休学"
"10.纪律处分的种类分为（  ）。","警告、严重警告、记过、留校察看、开除学籍"
"11.课程考核分为(  )两种。考核和成绩评定方式，以及考核不合格的课程是否重修或者补考，由学校规定。","考试和考查"
"12.学生学期或者学年所修课程或者应修学分数以及升级、跳级、留级、降级、重修等要求，由(  )规定。","学校"
"13.学生对处分决定有异议的，在接到学校处分决定书之日起（  ）内，可以向学生申诉处理委员会提出书面申诉。","10日"
"14.学生休学期满，应当于学期开学前向(  )提出复学申请，经学校复查合格，方可复学。","学校"
"15.学生对复查决定有异议的，在接到学校复查决定书之日起（  ）内，可以向省级教育行政部门提出书面申诉。","15日"
"16.在学生伤害事故中，教育行政部门收到调解申请，认为必要的，应当在受理申请之日起(  )日内完成调解。","60"
"17.考生应提前（）分钟凭有效证件进入考场，对号入座，不得擅自调换座位。","15"
"18.因病经学校指定医院诊断，需停课治疗、休养占当学期总周数（  ）及以上者，应予休学。","1/3"
"19. 申请免听的学生在前期培养阶段课程平均学分绩点必须达到（  ）以上。","3.0"
"20.学生申请免听，应在课程开课前（  ）周，向开课学院提出申请，经任课教师和学院主管教学领导同意。","2"
"21.休学时间以学期（中途休学当学期按一学期计算）为单位，一次不超过（  ）学期。","2"
"22.根据考勤，一学期因伤、因病、因事请假，缺课（不属旷课性质者）累计达到当学期总周数（  ）者，令其休学。","1/3"
"23.休学学生自休学生效之日起（  ）周内必须离校。","1"
"24. 因创业需要的，可保留入学资格最长不超过（  ）年","3"
"25.我校学生在校累计修业年限最长不超过（  ）年。","6"
"26.我校本科专业学制为（  ）年。","4"
"27.我校学生在校累计修业时间最短不少于（  ）年。","3"
"28.课程学分主要根据课程类别及学时数来确定。原则上，课堂教学（含实验）以（  ）学时为1学分。","16"
"29.原则上，实践教学环节（课程设计、生产实习、毕业实习、毕业设计（论文）等）一般以（  ）周为1学分。","1或1.5"
"30.第一学年，累计获得学分低于（  ）时，将给予退学处理。","15"
"31.第二学年，累计获得学分低于（  ）时，将给予退学处理。","45"
"32.第三学年，累计获得学分低于（  ）时，将给予退学处理。","75"
"33.第一学年，累计获得学分低于（  ）时，将给予降级处理。","25"
"34.第二学年，累计获得学分低于（  ）时，将给予降级处理。","55"
"35.第三学年，累计获得学分低于（  ）时，将给予降级处理。","85"
"36.假如小王本学期数学考了89分，那么他此次数学的学分绩点为（  ）。","3.9"
"37.小王的数学（6个学分）考了90分、英语（4个学分）考了80分，那么他两门课的平均学分绩点为（  ）。","3.6"
"38.假如小王本学期某门课获得了良好的成绩，那么他这门课的学分绩点为（  ）。","3.5"
"39.学生因事、因病需请假，由本人提出书面申请，一周以上由（  ）审批。","院长"
"40.原则上，学生每学期选课应不低于（  ）个学分。","15"
"41.一门课程旷课（  ）次及以上者，该生将被取消该门课程的结业考试资格。","3"
"42.一门课程缺课达总学时（  ）者，该生将被取消该门课程的结业考试资格。","1/3"
"43.一门课程的作业、实验报告等有（  ）及以上未完成者，该生将被取消该门课程的结业考试资格。","1/3"
"44.考试开始后（  ）分钟内考生不能离开考场。","30"
"45.迟到（  ）分钟的考生不得进入考场，并按旷考处理。","30"
"46.我校用以计算学生学习量的单位是（  ）。","学分"
"47.正常行课期间，旷课一天按（  ）学时计。","5"
"49.学生每学期修读课程的学分一般应控制在（  ）学分。","15-30"
"50.考核不合格但总成绩不低于（  ）分的学生和获准缓考的学生，可参加下一学期开学前学校组织的补考。","40"
"51.实习、考察、社会实践、军训期间，旷课一天按（  ）学时计算。","8"
"52．已构成考试作弊，不配合调查处理，肆意纠缠、威胁、侮辱、诽谤、诬陷监考人员，给予（  ）处分。","开除学籍"
"53．伪造证明材料申请缓考，给予（  ）处分。","严重警告"
"54.考试中被查实携带手机等通讯设备，尚未构成作弊的，给予（ ）处分。","留校察看或开除学籍"
"55.使用通讯设备协助他人作弊，给予（  ）处分。","开除学籍"
"56.利用通讯设备与他人交流与考试有关的内容，给予（  ）处分。","留校察看或开除学籍"
"57.对于考试违纪、作弊者，由教务处或研究生院会同有关学院在（  ）个工作日内按有关规定做出书面处理决定。","5"
"58.考生的违纪、作弊行为违反《中华人民共和国治安管理处罚法》的，由（  ）进行处理；构成犯罪的，依法追究刑事责任。","公安机关"
"59.因事因病需请假者，应经实习队长批准，请假累计时间超过本次实习时间的（  ）者，取消实习资格。","1/3"
"60.第七学期初，已修的专业核心课有（  ）门及以上没有获得学分，不得进入毕业年级学习，必须降级。","2"
"61. 第七学期初，所取得的有效总学分低于（  ），不得进入毕业年级学习，必须降级。","115"
"62. 故意损坏公物， 价值5000元以上的，给予（  ）处分。","留校察看以上"
"63.学生确因特殊情况不能参加课程考核，可申请（  ）。","缓考"
"64.文化素质类课程的选课时间在每学期的第 1-2 周进行，学生每学期允许选修（  ）门。","1-2"
"65.学生王某某在期末考试中，被监考老师当场发现其夹带与考试课程内容相关的纸条。其将被给予（  ）处分。","留校察看"
"66.对于窥视他人答卷或有意让他人窥视、抄袭答卷者，取消考试资格，记为“舞弊”，并给予（  ）处分。","记过"
"67.学生李某某在全国大学生英语四级考试中，被监考教师当场发现其用手机接收与考试有关的信息。根据规定，其将被给予（  ）处分。","开除学籍"
"68.必修、限选课平均学分绩点小于（  ）者，不授予学士学位。","2"
"69. 学生在校期间只允许申请参加（  ）个双学位专业的课程学习。","1"
"70.我校推荐免试攻读硕士研究生,须满足前三年内德、智、体综合评分居该专业年级前（  ）名次内。","40%"
"71.我校推荐免试攻读硕士研究生，非外语专业学生外语国家四级成绩应达到（  ）分（或通过四级考试）及以上。","425"
"72.我校推免硕士研究生，对有特殊学术专长或有突出创业创新成效以及具有突出培养潜质者，须经（  ）本校本专业教授（专家）联名推荐。","3名以上"
"73. 原则上各学院应按照通知下达推荐总额的（  ）的比例确定免试硕士研究生初步推荐名单。","1：2"
"74.需对照培养方案替代或认定课程成绩的，原则上替代（认定）与被替代（认定）课程之间学分差异不超过（  ）。","0.5学分"
"75.学生转专业补修、专升本补修、辅修或双学位课程按（）元/学分收取。","105"
"76.学生对本人的课程成绩确有疑问，可在课程成绩发布（  ）个工作日内申请查分。","3"
"77. 对于期末统考的课程，可在下学期开学初（  ）个工作日内提交“课程成绩核查申请表”。","3"
"78. 毕业（  ）年内已注册公司、领取营业执照自主创业的毕业生，可申请我校大学生创业基金帮扶。","5"
"79.第二课堂中，理、工类专业设置（ ）学分，经、管、文、法、教、艺类专业设置（  ）学分。","8，6"
"80.通常每年开展一期开放实验立项，当年（  ）月，由各实验室拟定或学生自带开放实验项目向全校学生公布。","11"
"81.在校门、集体宿舍、图书馆等公共场所不遵守有关规定，不听从管理人员劝阻，造成秩序混乱属于（  ）的行为。","影响公共安全管理"
"82.举行（  ）等活动，必须按规定上报、按法律程序获得批准。","大型集会、示威、游行"
"83.优秀学生奖学金，一等奖学金为（   ）元/人•学期，比例为（  ）。","500，3%"
"84.“优秀学生奖学金”的获奖等级，原则上按综合素质评分由高到低确定，且学分绩点排名在同一专业年级的（  ）。","前1/2"
"85.“十佳三好学生”由学院按学院学生总数的（  ）推荐，不足1人按1人计。","0.1%"
"86．“三好学生”荣誉称号的评定要求申请者当学年两个学期连续获得（  ）。","二等及以上奖学金"
"87.“优秀学生干部”荣誉称号的评定要求申请者当学年至少一个学期获得（  ）。","三等及以上奖学金"
"88.“优秀学生干部”荣誉称号的评定指标控制在专业年级学生人数的（  ）以内。","5%"
"89.“优秀毕业生”称号要求申请者在校期间曾被授予（  ）。","“十佳三好学生”、“三好学生”、“十佳优秀学生干部”、“优秀学生干部”、“优秀团员”、“优秀团干部”等校级及以上荣誉称号至少二次"
"90．“优秀毕业生”称号要求申请者在校期间学习成绩优良，综合素质测评列所在专业前（  ）。","1/2"
"91. 省级“优秀毕业生”人数控制在专业年级总人数的（  ）。","4%"
"92. 校级“优秀毕业生”人数控制在专业年级总人数的（  ）。","12%"
"93.（  ）每年度评比一次，由共青团西南石油大学委员会负责评比。","“优秀团员”、“优秀团干部”、“优秀团支部”、“五四红旗团支部”、“青年志愿者行动先进集体及优秀个人”"
"94.“先进班级”奖每学年评比一次，发给奖金（  ）元。","1000"
"95.学生个人对奖励初评结果有异议者，可在本学院初评结果（  ）向本学院评审小组提出书面意见。","公示期内"
"96.“飞翔奖”下设（  ）个单项。","10"
"97.“飞翔奖-学术科技奖”要以西南石油大学署名的独立作者（或第一作者）在核心期刊上发表论文至少（  ）篇。","1"
"98.“飞翔奖”原则上每（  ）年评定一次。","2"
"99.“飞翔奖”获奖者将被授予“飞翔奖章”、颁发荣誉证书和奖金（  ）元。","8000"
"100.“飞翔奖”提名奖获奖者将被授予“飞翔奖—****提名奖”荣誉称号、颁发荣誉证书和奖金（  ）元。","3000"
"101.《西南石油大学学生违纪处分办法》适用于在本校接受普通高等学历教育的（）。","研究生、本科生"
"102.受留校察看处分的学生， 其留校察看期限一般为（  ）。","12个月"
"103.被开除学籍的学生，应自生效之日起（  ）个工作日内离校，逾期不离校者，由保卫部门协助学生管理部门执。","5"
"104.盗窃公私财物，视其情节轻重，给予（  ）以上处分。","严重警告"
"105.为实施违纪行为的人员放哨、提供信息、作案工具或掩盖违纪行为的，视情节轻重，给予（  ）处分。","警告以上"
"106. 故意损坏公物， 价值500元以下的，给予（  ）处分。","警告"
"107.损坏校园设施，破坏绿化，攀折花木的，视情节轻重，给予（  ）以上处分。","警告"
"108.登录非法网站或下载、观看非法文字、图片、音频、视频等的，视情节轻重，给予（  ）以上处分。","记过"
"109.动手打人，造成伤害后果的，视情节轻重，给予（  ）处分；情节恶劣或造成严重后果的，给予开除学籍处分。","记过或留校察看处分"
"110. 虽未动手打人，但挑起事端或以“劝架”为名故意偏袒一方，造成事态扩大的，视情节轻重，给予（  ）以上处分。","记过"
"111.故意为他人提供凶器，或在打架斗殴中以凶器威胁他人的，给予（）以上处分。","记过"
"112.为赌博提供条件或者参与赌博的，视情节轻重，给予（）以上处分。","记过"
"113.组织未经登记或者未经批准的社团、协会并开展活动，造成不良影响的，对组织者、发起人给予（）处分。","警告或严重警告"
"114. 违反校园出入管理有关规定，未经批准私自出入或有采取不法途径（如翻墙等）出入等行为的，视情节轻重，视情节轻重给予（  ）以上处分。","警告或严重警告"
"115. 进行传销、邪教、封建迷信活动的，或在校园进行宗教活动、佩戴宗教标志等的，情节严重的，给予（  ）处分。","开除学籍"
"116.未经主管部门批准，随便调换、私自占用学生宿舍或出租床位，给予（  ）以上处分。","严重警告"
"117.违反宿舍消防、用电的相关规定，造成火灾事故的或者过失引起火灾的，视情节轻重给予（  ）以上处分。","记过"
"118. 私自在外租房住宿者或经查实晚归、夜不归寝的，视情节轻重，给予（  ）以上处分。","严重警告"
"119. 变造、伪造、盗用、倒卖或冒领各种证件、证明、公文、证书等的，视情节轻重，给予（  ）以上处分。","记过"
"120.冒用、盗用他人互联网用户账号或校内信息服务用户账号，造成不良影响或后果的，视情节轻重，给予（  ）以上处分。","严重警告"
"121. 恶意侮辱、骚扰、谩骂、恐吓、威胁、诽谤、诬告、陷害他人的，造成不良后果的，视情节轻重，给予（  ）以上处分。","记过"
"122. 拒绝、阻碍国家工作人员或学校管理人员依法依规执行公务的，视情节轻重，给予（  ）以上处分。","警告"
"135.在学校要求填报的学生信息卡（表、库）或相关信息采集过程中，故意错填、谎报、隐瞒本人及家庭相关信息的，视情节轻重，给予（  ）以上处分。","严重警告"
"123. 私自隐匿、毁弃、私拆他人信件、包裹，造成不良后果的，视情节轻重，给予（  ）以上处分。","记过"
"124.故意撕毁学校及有关部门贴出的保留期内的通报、通告的，视情节轻重，给予（  ）以上处分。","警告"
"125. 有请他人代替上课或者代替他人上课（含网络课程、体质健康测试）等行为的，视情节轻重，给予（  ）以上处分。","严重警告"
"126. 捏造或歪曲事实、恶意参与制造恐慌、发布不实言论、故意散布谣言或以其他方式煽动扰乱学校秩序，造成不良后果者，视情节轻重，给予（  ）以上处分。","记过"
"127. 擅自散发未经登记、审批的宣传品、印刷品，造成不良影响的，视情节轻重，给予（  ）以上处分。","严重警告"
"128.对无故旷课的学生，根据情节轻重，给予批评教育和纪律处分。一学期累计旷课20-29学时给予（  ）处分。","严重警告"
"129. 有吸食、注射毒品行为的，视情节轻重，给予（  ）处分。","留校察看或开除学籍"
"130.有故意餐饮浪费行为，且不听劝阻、拒不改正的，视情节轻重，给予（  ）以上处分。","警告"
"131.对事实清楚的违纪案件，有关学院应在收到材料或接到通知后（  ）月内，做出处分决定或提出处理意见。","1"
"132.学生本人有权在接到处分决定书之日起（  ）日内向学校学生申诉处理委员会提出书面申诉。","10"
"133. 对学生的纪律处分及解除处分材料，由学生档案管理部门负责真实完整地归入（  ）。","学校文书档案、学生本人档案和大学生诚信档案"
"134. 学生申诉处理委员会应当对予以受理的申诉进行复查，并在接到书面申诉之日起（  ）日内，作出复查结论并告知申诉人。","10"
"136.经学生申诉处理委员会依程序批准，学生申诉的复查可以采用听证程序进行，但听证只适用于（  ）。","取消入学资格、开除学籍和退学处理"
"137.学生申诉处理委员会在接到要求采取听证程序的申诉申请后，由主任在（  ）内作出是否采取听证程序的决定。","3个工作日"
"138. 听证评议员由学生申诉处理委员会委员担任，一般不少于（  ），其中应当包括教师代表和学生代表。","学生申诉处理委员会委员的2/3"
"139．组织听证的职能部门应当在做出听证决定之日起（  ）个工作日内确定听证的时间、地点、评议员等。","3"
"140.违纪学生应当参加听证，因特殊情况不能参加的，可以委托（  ）人代理。","1-2"
"141. 申请旁听的师生，应当在听证举行前（  ）个工作日内向组织听证的职能部门提出申请。","2"
"142. 学生申诉处理委员会召开的学生申诉复查专题会议，应当有（  ）以上的学生申诉处理委员会成员到会。","2/3"
"143. 被作退学处理的学生应当在接到退学处理决定书（或申诉复查决定书）后（  ）内办清离校手续。","一周"
"144.原则上，学生每学期选课应不低于(  )学分，不超过(  )学分。","15;30"
"145. 未参加实习的时间超过全部实习时间（  ），实习成绩考核为不及格。","1/3"
"146.学生李某，在留校察看期内带头打架斗殴，应给予(  )处分。","开除学籍"
"147、学生张某因防卫过当但被免于刑事处罚，学校可视其情节，给予（  )处分。","记过或留校察看"
"148.学生谢某被认定为打群架的组织者，但未造成严重后果，应当给予(  )以上处分。","记过"
"149.学生钟某，贩卖毒品但未超过50克，应当给予(  )处分。","开除学籍"
"150.研究生魏某参与某涉密项目过程中，将其中关键信息告诉了自己的大学同学，其最高可被给予(  )处分。","开除学籍"
"151.学生常某被查实带自己的女友回寝室住宿，将被给予（  ）以上处分。","留校察看"
"152.学生王某拒不执行学生公寓垃圾出楼与分类工作要求，最低可给予其（  ）以上处分。","警告"
"153.学生张某毕业时购买了一篇论文当做自己的毕业论文，被学校查实，应当给予(  )以上处分。","记过"
"154.某学院一间寝室被查实使用电热水棒烧水，经调查系张某某所为，其将被给予（  ）处分。","警告"
"155.经查实，学生刘某自2017年春季学期开学以来无故旷课已达到35学时。根据规定，其将被给予（  ）处分。","记过"
"156.学生干部考核结果等级分为优、良、合格、不合格，其中优秀比例不超过（  ）。","30%"
"157.请假三天以内（含三天）者，由（  ）审批。","辅导员"
"158.学生李某因病请假5天，应由（  ）审批。","分管学生工作的院领导"
"159.学生张某因事需请假8天，应由（  ）审批。","学院院长"
"160.学生王某今年大二，想做学生干部，那么根据规定，其上一年课程中原则上不能超过（  ）门课程挂科。","1"
"161．因请假造成的误课、缺考、安全事故等一系列问题由（  ）负责。","学生本人"
"162. 一学期内请假、缺课达到总周数（  ）及以上者应予休学。","1/3"
"163．综合素质测评由德育素质 、智育素质以及发展素质组成，其中智育素质所占比重为（  ）。","65%"
"164.开展综合素质测评，各班应成立班级测评小组，组成人员不得少于（  ）人。","7"
"165.除有特殊规定的奖励或资助项目外，综合测评结果是学校（  ）的权威优先依据。","评奖评优"
"166.学生入学取得正式学籍后由学校统一发给学生证，学生从学校至（  ）通火车的办理火车半价优惠卡。","家庭所在地"
"167.火车票优惠卡只限学生（  ）使用。","寒暑假回家"
"168. 学生证注册是学生证管理中一个重要环节，是学生（  ）的证明。","具有学籍"
"169.学生李某考试作弊被处分，其行为将被记入（  ）。","学校文书档案、本人档案和大学生诚信档案"
"170.“大学生圆梦基金”用于资助家庭困难，无固定经济来源的孤儿或烈士子女，原则上不超过（  ）元/人/年。","6000"
"171.对于已获资助的学生，下列除（  ）情况之外，其他均可以减少、暂停或追回已获得的资助。","学习成绩下滑"
"172.下列哪项（  ）不属于我校的困难补助形式。","生源地助学贷款"
"173.下列哪项（  ）不属于我校的勤工助学岗位。","学生干部"
"174.下列哪项（  ）不是勤工助学学生的基本条件。","普通话标准，着装整洁"
"175.学生参加勤工助学的时间原则上每周不超过 8 小时，每月不超过（  ）小时。","40"
"176.受到学校处分，将被（  ）。","立即停止勤工助学活动"
"177. 勤工助学的固定岗位按（）计酬。","月"
"178.学生可通过以下（）方式申请参加勤工助学活动。","招聘会竞聘"
"179. 教学楼实行定时开、关大门制度：每天早上7：00开大门，（  ）关大门（节假日、寒暑假除外）。","22：00"
"180.关于学生公寓，下列说法错误的是（  ）","为了学习可以自行加装电线"
"181.关于学生公寓，下列说法错误的是（  ）","可在公寓外空旷地燃放烟花爆竹"
"182.关于学生公寓，下列说法错误的是（  ）","可以随时带校外同学进入寝室"
"183.受到退学处理的学生须在通知之日起（  ）个工作日内结清各项住宿手续，搬离学生公寓。","5"
"184. 西南石油大学学生社团的成员应当是具有西南石油大学学籍的（  ）。","全日制研究生、本科学生"
"185.学生证丢失去（  ）补办。","学生教育管理科（办公楼105室）"
"186.目前我国青年学生中艾滋病流行呈快速增长趋势，主要传播方式为(  )性行为，其次为(   )性行为。","男男 ;男女"
"187.艾滋病需要（  ），会给家庭和个人造成严重负担。","终身治疗"
"188.蚊虫叮咬(  )传播艾滋病病毒。","不会"
"189.某学院一间寝室用电线路被私自改造过，经调查，该寝室成员张某某承认是其所为，张某某将被给予（  ）处分。","警告"
"190.经查实，学生刘某某寻衅滋事与他人发生冲突，并造成他人重伤，根据规定，其将被给予（  ）处分。","开除学籍"
"191.经查实，学生刘某某未经学校有关部门同意私自外出住宿。根据相关规定，刘某某最低将被给予（  ）处分。","严重警告"
"192.学生李某在国家级考试中携带手机进入考场并已经接收与考试有关的信息。根据规定，其将被给予（  ）处分。","开除学籍"
"193.经查实，学生秦某自开学以来无故旷课已达到15学时。根据规定，刘某某将被给予（）处分。","警告"
"194.某学院有一间学生寝室私自留宿异性，经调查核实，该寝室成员王某某承认是其所为，其将被给予（  ）以上处分。","留校察看"
"195.张某某在教学楼偷窃他人财物，经过批评教育后认识了自己的错误，根据规定可给予张某某(  )以上处分。","严重警告"
"196.学生杨某为追求女同学，夜晚在宿舍楼底进行喊楼、点蜡烛等行为，且不服从管理，按规定可给予其（  ）以上处分。","警告"
"197.经查实，学生殷某某转借学生证件并产生不良后果，视后果情况给予（  ）以上处分。","警告"
"198.李某因病经学校指定医院诊断，需停课治疗、休养占一学期总周数（  ）以上，应予休学。","1/3"
"199.经查实，学生殷某某剽窃、抄袭他人研究成果，且情节严重的，按照规定可给予(  )处分。","开除学籍"
"200.经查实，学生秦某不听批评教育， 故意损坏教学设备， 价值3000元，其将被给予（  ）以上处分。","记过"
"201.经查实，学生秦某在校外组织团伙偷窃触犯国家法律，构成犯罪，按照规定可给予(  )处分。","开除学籍"
"202.经查实，学生李某在校造谣、诬陷他人，按照规定可给予（  ）以上处分。","严重警告"
"203.学生李某某在打架事件中虽未动手打人，但充当策划，促使事态扩大，按照规定可给予其(  )以上处分。","记过"
"204.李某是患有疾病的新生，经指定的二级甲等以上医院诊断不宜在校学习，学校批准后，其可保留入学资格（  ）。","12个月"
"205.本科生读者凭本人的有效“一卡通”，可以借（）本图书，每册借期（）天；可以续借一次，续借期（  ）天。",20，60，30
"206. 如所借阅的图书不慎遗失，可采取（  ）的方式进行赔偿.","赔书或赔款"
"207. 学生王某不小心将所借阅的图书遗失了，她想通过赔款方式进行赔偿，那么她原则上需要按照按原价（  ）赔偿。","3-10倍"
"208.关于学校体育馆，说法错误的是（  ）","进馆必须交费"
"209.学生公寓的用电定额为：每室每月（  ）度（每年5、6、7、9月为35度），超出部分的用水用电按计量交费。","20"
"210.关于校园网学生用户，下列说法错误的是（  ）","学生用户可以将帐号、密码转让他人使用"
"211. 校园卡是由学校统一制作并发放的具有（  ）等功能的信息卡片，是我校校园内唯一官方通用信息证件。","身份认证、图书借阅、门禁管理、消费支出、机房管理、代扣代缴"
"212. 如在毕业离校前校园卡内尚有金额，可持本人校园卡到明理楼 B108办理退费，办理时间为离校前（  ）天。","3"
"213.破坏性地震从人感觉震动到建筑物被破坏平均只有（  ）秒钟。","12"
"214.关于地震，下列说法错误的是（  ）","如果震后不幸被废墟埋压，要持续呼救"
"215. 火灾会产生浓烟，但在火场中离地面（  ） cm以下的地方还有空气。","30"
"216.关于火灾，下列说法错误的是（  ）","火灾扑灭后应及时清理现场"
"217.以下哪家（  ）医院不是我校规定的定点医疗机构。","南充市长城医院"
"218.我国统一的急救号码是（  ），校医院出诊电话是（  ）。","120、2641120"
"219. 每年的（  ）是世界禁毒日，口号是“珍爱生命，远离毒品”。","6月26日"
"220. 关于艾滋病，下列说法错误的是（  ）","蚊虫叮咬会传播艾滋病病毒"
"221. 下列哪项（  ）不属于吸毒的危害。","丧失行动能力"
"222.下列哪项（  ）不属于考试违纪。","期末考试提前20分钟交卷"
"223. 学生必须在指定的时段内选课，已行课时间超过课表行课周数（  ）的课程不再补选。","1/3"
"224.我校课程结业考试时间一般为（  ）分钟","100"
"225.课程考试不及格但总成绩不低于（  ）分的、缓考的，可参加下一学期开学前学校组织的补考。","40"
"226.结业学生不及格课程可在离校后（  ）之内申请返校重修一次。","12个月"
"227.关于考场规则，下列说法错误的是（  ）","考试完毕应将草稿纸带离考场"
"228.下列哪项（  ）不属于考试违纪或作弊的处分种类。","勒令退学"
"229.关于本科生实习，下列说法错误的是（  ）","实习成绩采用三级记分制评定，即：优秀、及格和不及格"
"230.关于修读双学位学士，下列说法错误的是（  ）","学生进校后，修完第三学年主修专业课程并学有余力者可以修读"
"231.下列哪项（  ）不是推荐免试硕士研究生的条件。","乐于助人，艰苦奋斗"
"232. 新生因故不能按期入学者，应当事先书面向学校请假。请假时间一般不超过（  ）。","两周"
"233. 学生课程考核不合格者，可（  ）该课程。","重修或补考"
"234.学生在校期间一般只能转（  ）次专业。","一"
"235.下列说法错误的是（  ）","校内可以进行宗教活动"
"236. 我校本科专业的学制为（  ）年","4"
"237.假如王某第一学年累计获得28个学分，那么他将收到（  ）处理","学业警示"
"238.假如王某第二学年累计获得65个学分，那么他将收到（  ）处理","学业警示"
"239.假如王某第三学年累计获得108个学分，那么他将收到（  ）处理","学业警示"
"240. 假如王某第四学年累计获得110个学分，那么他将收到（  ）处理","降级"
"241.假如王某第四学年累计获得100个学分，那么他将收到（  ）处理","退学"
"242.结业考试成绩原则上占课程总成绩比例不得低于（  ）。","60%"
"243. 同一门课程，有一次以上考核成绩的，学分绩点按（  ）计。","该课程的最高成绩"
"244.因伤、病休学的学生，复学时必须持（  ）以上医院诊断证明书，并经校医院复查合格，方能复学。","二级甲等"
"245. 学生休学期满，应于学期开学（  ）周内向所在学院提出复学或继续休学申请，并提供有关证明。","1"
"246.作业或实验报告有（  ）未完成或未交者（抄袭作业或实验报告视同未交），取消该门课程结业考核资格。","1/3"
"247. 作结业处理的学生，可在（  ）内回校重修其未及格课程1次，合格者换发毕业证书，毕业时间按发证日期填写。","下一学年内"
"248.关于毕业、结业、肄业及授位,下列说法错误的是（  ）","中途退学的学生，发给结业证书"
"249.低于（  ）人的教学班原则上停开，学生只能改选其它教学班或改在其它学期修读。","20"
"250.关于不予授予学士学位的情形，下面说法不正确的是（  ）","在校期间有未修、补考记录"
"251. 学生应在开学前根据修读学分数将本学期双学位学费一次性交到双学位所在学院，标准为（  ）元/学分。","105"
"252.参加推荐免试研究生选拔的非计算机专业学生必须通过“四川省非计算机专业学生计算机等级考试”（  ）。","二级考试或国家二级考试"
"253.以下哪项（  ）不是学生违纪处分办法中的处分种类。","勒令退学"
"254. 学生有两种以上违纪行为应受处分的，给予（  ）处分。","从重"
"255.关于留校察看处分，说法错误的是（  ）","若在留校察看期间再次违纪者将给予延长察看期或开除学籍处分"
"256.在图书馆借阅书籍，若一册书超过规定借期仍未归还，每超过1天，图书馆收取延滞归还费（  ）元/册/天。","0.2"
"257.假如学生王某想要去图书馆看书学习，那么他必须携带（  ）进入。","校园一卡通"
"258.关于图书馆，下列说法错误的是（  ）","在图书馆内不得使用电脑上网"
"259.学生李某被给予警告处分，那么他的处分期限是（  ）。","6个月"
"260.下列哪项（  ）不是高校学生在校享有的权利。","自行组织社团"
"261.按照我校规定，未经批准连续两周未参加学校规定的教学活动的应予以（  ）","退学"
"262.按照学校规定，未申请缓考或申请缓考但未获批准的缺考学生，一律按（  ）处理。","旷考"
"263.关于休学，下列说法错误的是（  ）","休学学生的户口要迁出学校"
"264.下列哪项情形（  ），其不及格课程不是必须重修。","申请缓考者"
"265.关于对违纪作弊学生的处理，下列说法错误的是（  ）","对学生违纪、作弊的处理，要在其考试完后进行"
"266.关于学生违纪处分，下列说法错误的是（  ）","触犯国家法律一律开除学籍"
"267. 学校每年两次集中受理转学备案工作，时间为（  ），其余时间不予受理。","每年4-5月和10-11月"
"268.张三同学受到纪律处分的学生，可在处分期满前（  ）日内填写《西南石油大学学生纪律处分解除审批表》（以下简称处分解除审批表），结合实际汇报本人思想、学习、生活以及行为等方面的改进情况，经所在学院填写民主评议意见以及审核意见后交学工部、教务处或研究生院审批。","15"
"269.李四同学毕业离校时纪律处分期限仍未到的，学生可在期满后（  ）个月内凭所在单位或社区出具的现实表现材料回校提交纪律处分解除申请。","6"
"270.王五同学严重影响学校教育教学管理秩序的，给予（  ）处分。","开除学籍"
